Название,Компания,Уровень,Зарплата_от,Зарплата_до,Валюта,Опыт,Ссылка,Навыки
Аналитик данных (Рекламная платформа),Lamoda Tech,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116722536,
Аналитик данных,Группа Компаний «Линия7»,Middle,45000.0,45000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117948349,
Data аналитик,Innovative People,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117879031,
Аналитик Данных,Оскели Групп,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/114922045,
Аналитик данных,ПЗ Сигнал,Middle,90000.0,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117321593,
Аналитик данных,Суточно.ру,Other,,200000.0,RUR,От 3 до 6 лет,https://hh.ru/vacancy/118006747,
Аналитик данных / Data Scientist,Сеть аптек Апрель,Other,,200000.0,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117901555,
Аналитик данных Excel,Ростелеком,Middle,62000.0,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/114055320,
Data-analyst(junior),Flowwow,Junior,,100000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117258467,
Аналитик данных (исследование источников данных),Банк ВТБ (ПАО),Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117743598,
Аналитик данных (исследование источников данных),Банк ВТБ (ПАО),Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117743595,
Аналитик данных (исследование источников данных),Банк ВТБ (ПАО),Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117743596,
Аналитик данных (junior),Инфоматика,Junior,,77000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117672719,
Аналитик данных (исследование источников данных),Банк ВТБ (ПАО),Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117743597,
Аналитик данных,GrowFood,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117537531,
BI-аналитик/аналитик данных junior,НПФ ВТБ Пенсионный Фонд,Junior,120000.0,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117046102,
Младший аналитик данных,Ozon,Junior,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117493918,
Аналитик данных в Рекламные технологии,VK,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117791016,
Аналитик данных / BI-аналитик,АстраЗенека,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117840643,
Стажер - консультант SAP /Аналитик данных,Юникон АП,Junior,,,RUR,Нет опыта,https://hh.ru/vacancy/117206881,
Senior Product/Data Analyst,Remokate,Senior,,630000.0,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117048933,
Портфельный аналитик (Risk Data Analyst),Т-Банк,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117509604,
Аналитик данных (офис),Ак Барс Банк,Junior,50000.0,,RUR,Нет опыта,https://hh.ru/vacancy/116785660,
Программист - аналитик данных,ГБУЗ СПб Медицинский информационно-аналитический центр,Middle,80000.0,90000.0,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117330342,
Аналитик данных,Рестрим Медиа,Middle,,150000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117109212,
Аналитик данных,Ригла,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117516167,
Аналитик данных (Проектный отдел),МКК Корона,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117713177,
Аналитик данных (маркетинг),X5 Digital,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117104123,
Аналитик BI / Аналитик данных,Арлайт РУС,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117085771,
Аналитик данных на склад / Аналитик по товародвижению,ЛогЛаб,Middle,100000.0,150000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/115717400,
Аналитик данных,Азиатско-Тихоокеанский Банк,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116327886,
Аналитик данных,Росгосстрах,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117131701,
Аналитик данных,Айкрафт,Middle,60000.0,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117812764,
"Стажер в отдел аналитики данных, группа систем управления взаимоотношениями с клиентами",ГЕРОФАРМ,Junior,,,RUR,Нет опыта,https://hh.ru/vacancy/117849095,
Аналитик данных,"Лента, федеральная розничная сеть",Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/113015092,
Аналитик данных,WILDBERRIES,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117514298,
Data Analyst Middle/Senior,HuntIT,Senior,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117956860,
Аналитик данных/Системный аналитик (Junior/Middle),EGAR,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116911625,
Аналитик данных,Леон,Middle,150000.0,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117285853,
Аналитик данных (Команда аудита процессов ПОД ФТ),АО «ОТП Банк» (JSC «OTP Bank»),Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117750814,
"Системный аналитик / Data Analyst (финансовая отчетность, Python, BI)",Т1,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117905278,
Ведущий аналитик данных,Технополис «Химград»,Senior,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117898423,
Аналитик данных в HR,2ГИС,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117390571,
Аналитик данных,Альфа-Банк,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117753384,
Data analyst (стажер),СБЕР,Junior,60000.0,70000.0,RUR,Нет опыта,https://hh.ru/vacancy/116771462,
